"category","name","city","country","type","sector","source_type","data_collection_method","source_text","source_url","dataset_id","dataset_name","pfas_values","unit","pfas_sum","details","matrix","date","year","region","lat","lon"
"Known PFAS user","IKV Tribology","Saint-Donat-sur-l'Herbasse","France","Industrial site","Manufacture of refined petroleum products","Company","OSINT","IKV Tribology","https://www.ikv.fr/en/catalog/categorie/products.html",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/W5JYpdM8hFwBv4iv5""}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.114688,4.96675
"Known PFAS user","Maceplast","Lyon","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Maceplast","https://maceplast.fr/en/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.730033,4.975438
"Known PFAS user","Orchidee","Conty","France","Industrial site",NA,"Company","OSINT","Orchidee","https://orchidee-fire.com/products-solutions/?_sft_product_cat=foams",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Hauts-de-France",49.746227,2.150166
"Known PFAS user","Perimeter Solutions / Biogema","Aix en Provence","France","Industrial site",NA,"Company","OSINT","Perimeter Solutions / Biogema","https://www.perimeter-solutions.com/fr/histoire/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Provence-Alpes-Côte d'Azur",43.492723,5.384043
"Known PFAS user","Pirep","Busnes","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Pirep","https://pirep.fr/_docs/divers/Plaquette_FR.pdf",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Hauts-de-France",50.579856,2.505733
"Known PFAS user","SAFI","Taulignan","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","SAFI","https://www.safi-valves.com/fr/reseau-et-contact/reseau-international",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/GFm7hD7UxcgTUybg8""}",NA,NA,NA,"Auvergne-Rhône-Alpes",44.443986,4.969867
"Known PFAS user","Sectoriel","Saint-Quentin-Fallavier","France","Industrial site",NA,"Company","OSINT","Sectoriel","https://www.sectoriel.com/fr/catalogsearch/result/?q=PTFE",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/FqAiPm8oXgLSTAh87 ""}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.642595,5.101142
"Known PFAS user","Spirel","Vineuil-Saint-Firmin","France","Industrial site",NA,"Company","OSINT","Spirel","https://www.spirel.fr/en/our-products/specialty/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Hauts-de-France",49.204991,2.515279
"Known PFAS user","Techniflon Europe","Le Plessis-Pâte","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Techniflon Europe","http://www.ptfe-belt-techniflon.uk/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Île-de-France",48.616992,2.329424
"Known PFAS user","Tricoflex","Vitry-le-François","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Tricoflex","https://www.tricoflex.com/produit/tube-ptfe/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Grand Est",48.726471,4.603792
"Known PFAS user","Weilburger coatings","Achères","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Weilburger coatings","https://www.weilburger.com/en/products",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/URTyCBR3p2sjWF8k9""}",NA,NA,NA,"Île-de-France",48.965931,2.058141
"Known PFAS user","Approflon","Beynost","France","Industrial site","Manufacture of rubber and plastic products","Authorities","FOI","FOI document",NA,0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/nGLuen1fnMmwhTZu9""}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.829161,5.010525
"Known PFAS user","Fortier Beaulieu","Rumilly","France","Industrial site",NA,"Authorities","OSINT","ARS Rhône-Alpes","https://www.auvergne-rhone-alpes.ars.sante.fr/pfas-focus-sur-la-situation-rumilly-haute-savoie",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.864286,5.948318
"Known PFAS user","Salomon","Rumilly","France","Industrial site",NA,"Authorities","OSINT","ARS Rhône-Alpes","https://www.auvergne-rhone-alpes.ars.sante.fr/pfas-focus-sur-la-situation-rumilly-haute-savoie",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.838896,5.960591
"Known PFAS user","Tefal","Tournus","France","Industrial site",NA,"Authorities","OSINT","Géorisques","https://www.georisques.gouv.fr/risques/registre-des-emissions-polluantes/etablissement/details/293#/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Bourgogne-Franche-Comté",46.566759,4.90498
"Known PFAS user","3P Performance Plastics Products","Langres","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","3P","https://www.haute-marne.gouv.fr/content/download/10558/75640/file/AP%20n%C2%B0%201056%20du%2010%20avril%202018%203%20P%20-%20LANGRES.pdf",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Grand Est",47.858601,5.347156
"Known PFAS user","Aberflon","Plaisir","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Aberflon","https://aberflon.fr/nos-produits/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Île-de-France",48.834075,1.941592
"Known PFAS user","BASF Agri Solutions","Saint-Aubin-lès-Elbeuf","France","Industrial site",NA,"Company","OSINT","BASF Agri Solutions","https://www.basf.com/fr/fr/who-we-are/BASF_en_France/Strategie-et-Organisation-France/Elbeuf.html",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/GNkboGS1G52UjF8UA""}",NA,NA,NA,"Normandie",49.310541,1.012182
"Known PFAS user","BioEx","Sainte-Consorce","France","Industrial site",NA,"Company","OSINT","BioEx","https://www.bio-ex.com/fr/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.768166,4.703427
"Known PFAS user","C2M Aurochs Industrie","Aucamville","France","Industrial site",NA,"Company","OSINT","C2M Auroch","https://www.c2m-aurochs-industrie.com/qui-sommes-nous/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Occitanie",43.674642,1.415409
"Known PFAS user","DEMGY SPN","La Courneuve","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","DEMGY SPN","http://www.plastiques-nobles.com/matieres-plastiques/",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/yKPVs1Md3zWc79BY7""}",NA,NA,NA,"Île-de-France",48.92643,2.405527
"Known PFAS user","Eau et Feu","Reims","France","Industrial site",NA,"Company","OSINT","Eau et Feu","https://eauetfeu.fr/produits/emulseurs/categorie-de-risque-feu/emulseurs-pour-feux-dhydrocarbures/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Grand Est",49.227023,4.093472
"Known PFAS user","Fluor one","Vernouillet","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Fluor one","https://www.fluor-one.fr/moulage-de-ptfe/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Centre-Val de Loire",48.712197,1.371605
"Known PFAS user","Fluorotechnique","Montreuil","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Fluorotechnique","https://fluorotechnique.fr/revetements-fluores/",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/kB3cCpLrGo9RZNjm8""}",NA,NA,NA,"Île-de-France",48.869018,2.45676
"Known PFAS user","Fluorotechnique","Mérignac","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Fluorotechnique","https://fluorotechnique.fr/revetements-fluores/",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/9aTwh8fPfi3kiFi36""}",NA,NA,NA,"Nouvelle-Aquitaine",44.849789,-0.687539
"Known PFAS user","Freudenberg","Chamborêt","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Freudenberg","https://www.fst.com/-/media/files/fst,-d-,com/certificates/iso_14001/castelli_calepio_iso_14001_2015_20231123.pdf",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Nouvelle-Aquitaine",46.00404,1.144256
"Known PFAS user","Freudenberg","Langres","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Freudenberg","https://www.fst.com/-/media/files/fst,-d-,com/certificates/iso_14001/castelli_calepio_iso_14001_2015_20231123.pdf",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Grand Est",47.856769,5.346437
"Known PFAS user","IKV Tribology","Saint-Donat-sur-l'Herbasse","France","Industrial site","Manufacture of refined petroleum products","Company","OSINT","IKV Tribology","https://www.ikv.fr/en/catalog/categorie/products.html",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/W5JYpdM8hFwBv4iv5""}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.114688,4.96675
"Known PFAS user","Maceplast","Lyon","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Maceplast","https://maceplast.fr/en/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.730033,4.975438
"Known PFAS user","Orchidee","Conty","France","Industrial site",NA,"Company","OSINT","Orchidee","https://orchidee-fire.com/products-solutions/?_sft_product_cat=foams",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Hauts-de-France",49.746227,2.150166
"Known PFAS user","Perimeter Solutions / Biogema","Aix en Provence","France","Industrial site",NA,"Company","OSINT","Perimeter Solutions / Biogema","https://www.perimeter-solutions.com/fr/histoire/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Provence-Alpes-Côte d'Azur",43.492723,5.384043
"Known PFAS user","Pirep","Busnes","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Pirep","https://pirep.fr/_docs/divers/Plaquette_FR.pdf",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Hauts-de-France",50.579856,2.505733
"Known PFAS user","SAFI","Taulignan","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","SAFI","https://www.safi-valves.com/fr/reseau-et-contact/reseau-international",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/GFm7hD7UxcgTUybg8""}",NA,NA,NA,"Auvergne-Rhône-Alpes",44.443986,4.969867
"Known PFAS user","Sectoriel","Saint-Quentin-Fallavier","France","Industrial site",NA,"Company","OSINT","Sectoriel","https://www.sectoriel.com/fr/catalogsearch/result/?q=PTFE",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/FqAiPm8oXgLSTAh87 ""}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.642595,5.101142
"Known PFAS user","Spirel","Vineuil-Saint-Firmin","France","Industrial site",NA,"Company","OSINT","Spirel","https://www.spirel.fr/en/our-products/specialty/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Hauts-de-France",49.204991,2.515279
"Known PFAS user","Techniflon Europe","Le Plessis-Pâte","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Techniflon Europe","http://www.ptfe-belt-techniflon.uk/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Île-de-France",48.616992,2.329424
"Known PFAS user","Tricoflex","Vitry-le-François","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Tricoflex","https://www.tricoflex.com/produit/tube-ptfe/",0,"Known PFAS Users","[]","ng/l",NA,"{}",NA,NA,NA,"Grand Est",48.726471,4.603792
"Known PFAS user","Weilburger coatings","Achères","France","Industrial site","Manufacture of rubber and plastic products","Company","OSINT","Weilburger coatings","https://www.weilburger.com/en/products",0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/URTyCBR3p2sjWF8k9""}",NA,NA,NA,"Île-de-France",48.965931,2.058141
"Known PFAS user","Approflon","Beynost","France","Industrial site","Manufacture of rubber and plastic products","Authorities","FOI","FOI document",NA,0,"Known PFAS Users","[]","ng/l",NA,"{""maps_link"":""https://goo.gl/maps/nGLuen1fnMmwhTZu9""}",NA,NA,NA,"Auvergne-Rhône-Alpes",45.829161,5.010525
